Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20230119:0030,95.2,138.49,14.36,21.56,1.31,0.0
20230119:0130,272.42,357.88,28.11,23.52,0.9,0.0
20230119:0230,446.86,585.65,41.37,25.72,0.97,0.0
20230119:0330,571.34,760.92,53.54,27.3,1.52,0.0
20230119:0430,593.64,791.1,63.06,28.73,2.21,0.0
20230119:0530,586.51,785.36,66.45,29.58,1.86,0.0
20230119:0630,550.01,740.05,61.41,29.86,1.24,0.0
20230119:0730,367.54,486.48,51.11,30.48,1.1,0.0
20230119:0830,366.31,489.97,38.63,30.02,0.48,0.0
20230119:0930,243.3,335.77,25.24,29.8,0.48,0.0
20230119:1030,65.26,115.79,11.42,28.89,0.76,0.0
20230119:1130,0.0,0.0,-2.58,27.93,1.31,0.0
20230119:1230,0.0,0.0,0.0,26.92,0.69,0.0
20230119:1330,0.0,0.0,0.0,26.36,0.55,0.0
20230119:1430,0.0,0.0,0.0,25.53,0.62,0.0
20230119:1530,0.0,0.0,0.0,24.92,0.76,0.0
20230119:1630,0.0,0.0,0.0,24.68,0.83,0.0
20230119:1730,0.0,0.0,0.0,24.09,0.83,0.0
20230119:1830,0.0,0.0,0.0,23.72,0.83,0.0
20230119:1930,0.0,0.0,0.0,24.05,0.34,0.0
20230119:2030,0.0,0.0,0.0,23.87,0.28,0.0
20230119:2130,0.0,0.0,0.0,23.74,0.34,0.0
20230119:2230,0.0,0.0,0.0,23.67,0.69,0.0
20230119:2330,1.38,9.3,0.39,23.52,0.83,0.0
20230120:0030,68.62,107.69,14.33,23.5,0.62,0.0
20230120:0130,206.7,276.59,28.1,24.93,0.55,0.0
20230120:0230,339.29,444.82,41.39,26.12,0.55,0.0
20230120:0330,412.91,544.08,53.61,26.87,0.55,0.0
20230120:0430,510.32,685.4,63.21,27.85,0.69,0.0
20230120:0530,493.45,658.98,66.66,28.79,1.31,0.0
20230120:0630,523.93,701.37,61.63,29.22,1.24,0.0
20230120:0730,464.85,621.76,51.29,29.73,1.1,0.0
20230120:0830,335.12,446.26,38.78,29.3,0.97,0.0
20230120:0930,172.97,238.86,25.36,28.76,0.97,0.0
20230120:1030,45.66,79.18,11.52,28.12,1.59,0.0
20230120:1130,0.0,0.0,-2.5,26.77,1.17,0.0
20230120:1230,0.0,0.0,0.0,25.66,0.9,0.0
20230120:1330,0.0,0.0,0.0,25.33,0.69,0.0
20230120:1430,0.0,0.0,0.0,25.05,0.55,0.0
20230120:1530,0.0,0.0,0.0,24.89,0.48,0.0
20230120:1630,0.0,0.0,0.0,24.62,0.62,0.0
20230120:1730,0.0,0.0,0.0,24.37,0.76,0.0
20230120:1830,0.0,0.0,0.0,24.04,0.9,0.0
20230120:1930,0.0,0.0,0.0,23.39,0.55,0.0
20230120:2030,0.0,0.0,0.0,23.25,0.55,0.0
20230120:2130,0.0,0.0,0.0,23.08,0.69,0.0
20230120:2230,0.0,0.0,0.0,22.96,0.83,0.0
20230120:2330,1.55,9.65,0.33,22.86,0.9,0.0
20230121:0030,96.63,148.49,14.29,23.21,0.97,0.0
20230121:0130,202.9,270.54,28.09,24.84,1.31,0.0
20230121:0230,338.15,437.66,41.41,25.92,1.86,0.0
20230121:0330,451.66,585.69,53.68,27.07,2.55,0.0
20230121:0430,475.24,618.47,63.36,28.13,3.1,0.0
20230121:0530,460.14,600.7,66.89,28.8,3.24,0.0
20230121:0630,272.29,358.13,61.85,28.84,2.83,0.0
20230121:0730,259.86,341.65,51.47,26.97,1.03,0.0
20230121:0830,210.08,281.88,38.92,27.29,0.62,0.0
20230121:0930,136.62,191.04,25.48,27.35,0.9,0.0
20230121:1030,46.98,83.04,11.62,26.88,1.03,0.0
20230121:1130,0.0,0.0,-2.42,25.8,0.83,0.0
20230121:1230,0.0,0.0,0.0,25.22,0.62,0.0
20230121:1330,0.0,0.0,0.0,24.66,0.83,0.0
20230121:1430,0.0,0.0,0.0,24.1,0.83,0.0
20230121:1530,0.0,0.0,0.0,23.81,0.41,0.0
20230121:1630,0.0,0.0,0.0,23.48,1.03,0.0
20230121:1730,0.0,0.0,0.0,23.24,0.97,0.0
20230121:1830,0.0,0.0,0.0,23.08,0.76,0.0
20230121:1930,0.0,0.0,0.0,22.99,0.97,0.0
20230121:2030,0.0,0.0,0.0,22.67,0.9,0.0
20230121:2130,0.0,0.0,0.0,22.47,0.9,0.0
20230121:2230,0.0,0.0,0.0,22.34,1.03,0.0
20230121:2330,1.7,9.95,0.27,22.41,1.03,0.0
20230122:0030,86.95,137.75,14.26,22.76,0.9,0.0
20230122:0130,200.72,268.4,28.08,24.54,0.69,0.0
20230122:0230,262.37,343.68,41.44,25.83,0.69,0.0
20230122:0330,348.21,454.8,53.76,26.6,0.62,0.0
20230122:0430,314.04,413.16,63.52,27.36,0.69,0.0
20230122:0530,404.06,536.5,67.12,27.9,0.41,0.0
20230122:0630,19.54,39.3,62.07,28.53,0.14,0.0
20230122:0730,33.18,57.25,51.65,24.67,2.76,0.0
20230122:0830,49.53,78.5,39.07,24.29,1.52,0.0
20230122:0930,112.76,157.96,25.6,24.38,0.9,0.0
20230122:1030,49.38,82.27,11.72,25.02,1.1,0.0
20230122:1130,0.0,0.0,-2.34,24.9,1.24,0.0
20230122:1230,0.0,0.0,0.0,24.25,1.17,0.0
20230122:1330,0.0,0.0,0.0,23.63,0.9,0.0
20230122:1430,0.0,0.0,0.0,23.04,0.9,0.0
20230122:1530,0.0,0.0,0.0,22.65,1.17,0.0
20230122:1630,0.0,0.0,0.0,22.49,1.1,0.0
20230122:1730,0.0,0.0,0.0,22.23,1.17,0.0
20230122:1830,0.0,0.0,0.0,22.18,1.17,0.0
20230122:1930,0.0,0.0,0.0,22.51,0.97,0.0
20230122:2030,0.0,0.0,0.0,22.21,0.9,0.0
20230122:2130,0.0,0.0,0.0,21.91,0.97,0.0
20230122:2230,0.0,0.0,0.0,21.74,1.03,0.0
20230122:2330,0.9,8.15,0.22,21.77,1.03,0.0
20230123:0030,84.8,131.02,14.23,22.12,0.76,0.0
20230123:0130,263.39,348.3,28.08,24.17,0.62,0.0
20230123:0230,360.37,473.27,41.47,25.85,0.55,0.0
20230123:0330,422.28,560.93,53.85,26.9,0.21,0.0
20230123:0430,402.68,537.08,63.68,27.86,0.48,0.0
20230123:0530,391.85,523.28,67.35,28.24,0.34,0.0
20230123:0630,440.19,588.4,62.29,28.06,0.55,0.0
20230123:0730,392.17,522.3,51.83,29.09,0.83,0.0
20230123:0830,262.9,351.49,39.21,28.75,0.9,0.0
20230123:0930,147.02,203.58,25.71,28.03,1.86,0.0
20230123:1030,46.31,77.31,11.81,27.07,2.07,0.0
20230123:1130,0.0,0.0,-2.27,25.81,1.24,0.0
20230123:1230,0.0,0.0,0.0,24.61,0.69,0.0
20230123:1330,0.0,0.0,0.0,23.91,0.14,0.0
20230123:1430,0.0,0.0,0.0,23.78,0.28,0.0
20230123:1530,0.0,0.0,0.0,23.61,0.69,0.0
20230123:1630,0.0,0.0,0.0,23.58,0.83,0.0
20230123:1730,0.0,0.0,0.0,23.33,0.69,0.0
20230123:1830,0.0,0.0,0.0,23.06,0.76,0.0
20230123:1930,0.0,0.0,0.0,22.98,0.9,0.0
20230123:2030,0.0,0.0,0.0,22.86,0.69,0.0
20230123:2130,0.0,0.0,0.0,22.73,0.76,0.0
20230123:2230,0.0,0.0,0.0,22.83,0.83,0.0
20230123:2330,0.0,5.4,0.17,22.87,1.03,0.0
20230124:0030,32.01,55.75,14.2,23.0,0.9,0.0
20230124:0130,63.51,96.15,28.08,23.72,0.83,0.0
20230124:0230,125.95,173.81,41.51,24.51,0.76,0.0
20230124:0330,136.12,187.2,53.93,25.28,0.97,0.0
20230124:0430,179.34,240.11,63.85,25.55,1.03,0.0
20230124:0530,323.24,423.43,67.59,25.72,1.17,0.0
20230124:0630,198.46,265.31,62.52,26.38,1.59,0.0
20230124:0730,161.29,217.57,52.01,25.66,0.9,0.0
20230124:0830,75.77,112.4,39.35,25.87,0.76,0.0
20230124:0930,28.34,51.0,25.83,25.34,0.76,0.0
20230124:1030,6.8,19.45,11.91,24.78,0.28,0.0
20230124:1130,0.0,0.0,-2.2,24.19,0.41,0.0
20230124:1230,0.0,0.0,0.0,23.76,0.14,0.0
20230124:1330,0.0,0.0,0.0,23.53,0.34,0.0
20230124:1430,0.0,0.0,0.0,23.43,0.76,0.0
20230124:1530,0.0,0.0,0.0,23.19,0.69,0.0
20230124:1630,0.0,0.0,0.0,22.99,0.21,0.0
20230124:1730,0.0,0.0,0.0,22.87,0.34,0.0
20230124:1830,0.0,0.0,0.0,22.69,0.55,0.0
20230124:1930,0.0,0.0,0.0,22.73,0.55,0.0
20230124:2030,0.0,0.0,0.0,22.55,0.62,0.0
20230124:2130,0.0,0.0,0.0,22.51,0.9,0.0
20230124:2230,0.0,0.0,0.0,22.52,1.03,0.0
20230124:2330,0.09,6.05,0.12,22.44,0.97,0.0
20230125:0030,31.16,54.85,14.18,22.43,0.9,0.0
20230125:0130,73.49,108.45,28.08,23.33,0.9,0.0
20230125:0230,147.68,200.85,41.55,24.27,0.76,0.0
20230125:0330,237.26,313.17,54.03,25.2,0.83,0.0
20230125:0430,197.42,263.46,64.02,26.17,1.45,0.0
20230125:0530,310.92,408.38,67.84,26.43,1.38,0.0
20230125:0630,387.05,506.7,62.75,27.12,1.93,0.0
20230125:0730,220.25,294.57,52.19,27.76,1.03,0.0
20230125:0830,186.59,251.52,39.5,27.1,0.9,0.0
20230125:0930,77.05,114.7,25.94,26.62,0.48,0.0
20230125:1030,32.92,58.56,12.0,25.72,0.07,0.0
20230125:1130,0.0,0.0,-2.13,25.19,0.28,0.0
20230125:1230,0.0,0.0,0.0,24.68,0.41,0.0
20230125:1330,0.0,0.0,0.0,24.24,0.34,0.0
20230125:1430,0.0,0.0,0.0,23.57,0.62,0.0
20230125:1530,0.0,0.0,0.0,22.98,1.03,0.0
20230125:1630,0.0,0.0,0.0,22.73,1.1,0.0
20230125:1730,0.0,0.0,0.0,22.75,1.03,0.0
20230125:1830,0.0,0.0,0.0,22.69,1.03,0.0
20230125:1930,0.0,0.0,0.0,22.76,0.83,0.0
20230125:2030,0.0,0.0,0.0,22.52,0.97,0.0
20230125:2130,0.0,0.0,0.0,22.33,1.03,0.0
20230125:2230,0.0,0.0,0.0,22.34,1.31,0.0
20230125:2330,0.0,5.15,0.08,22.31,1.31,0.0
20230126:0030,36.92,63.71,14.16,22.5,1.38,0.0
20230126:0130,203.46,268.97,28.09,23.29,1.45,0.0
20230126:0230,308.0,400.32,41.59,24.99,1.31,0.0
20230126:0330,427.52,562.75,54.12,26.11,0.9,0.0
20230126:0430,540.4,726.95,64.2,27.3,0.76,0.0
20230126:0530,595.59,813.59,68.09,28.37,0.76,0.0
20230126:0630,484.59,650.71,62.98,29.09,1.1,0.0
20230126:0730,402.59,532.91,52.37,29.69,1.45,0.0
20230126:0830,304.66,404.75,39.64,29.7,1.1,0.0
20230126:0930,175.1,242.51,26.06,29.52,0.76,0.0
20230126:1030,53.12,90.88,12.09,28.99,0.34,0.0
20230126:1130,0.0,0.0,-2.06,28.07,0.07,0.0
20230126:1230,0.0,0.0,0.0,27.19,0.21,0.0
20230126:1330,0.0,0.0,0.0,26.09,0.48,0.0
20230126:1430,0.0,0.0,0.0,25.56,0.62,0.0
20230126:1530,0.0,0.0,0.0,25.07,0.69,0.0
20230126:1630,0.0,0.0,0.0,24.32,0.97,0.0
20230126:1730,0.0,0.0,0.0,23.88,0.97,0.0
20230126:1830,0.0,0.0,0.0,23.64,0.69,0.0
20230126:1930,0.0,0.0,0.0,23.32,1.03,0.0
20230126:2030,0.0,0.0,0.0,23.18,1.03,0.0
20230126:2130,0.0,0.0,0.0,23.17,1.03,0.0
20230126:2230,0.0,0.0,0.0,23.12,1.24,0.0
20230126:2330,0.89,8.15,0.03,23.06,1.24,0.0
20230127:0030,82.2,127.51,14.15,22.99,0.9,0.0
20230127:0130,225.41,300.25,28.1,24.83,0.62,0.0
20230127:0230,345.08,451.51,41.64,26.39,0.9,0.0
20230127:0330,425.89,560.9,54.22,27.36,1.31,0.0
20230127:0430,441.21,581.94,64.38,28.07,1.66,0.0
20230127:0530,462.36,612.14,68.35,28.49,1.79,0.0
20230127:0630,489.04,648.86,63.22,28.78,1.86,0.0
20230127:0730,381.06,500.29,52.55,28.93,1.93,0.0
20230127:0830,211.37,282.08,39.78,27.82,1.86,0.0
20230127:0930,126.65,177.32,26.17,27.37,1.66,0.0
20230127:1030,45.32,73.9,12.17,26.51,1.03,0.0
20230127:1130,0.0,0.0,-1.99,26.14,0.21,0.0
20230127:1230,0.0,0.0,0.0,25.58,0.34,0.0
20230127:1330,0.0,0.0,0.0,25.12,0.62,0.0
20230127:1430,0.0,0.0,0.0,24.75,0.83,0.0
20230127:1530,0.0,0.0,0.0,24.54,0.83,0.0
20230127:1630,0.0,0.0,0.0,24.4,0.62,0.0
20230127:1730,0.0,0.0,0.0,24.25,0.69,0.0
20230127:1830,0.0,0.0,0.0,24.11,0.97,0.0
20230127:1930,0.0,0.0,0.0,23.79,1.03,0.0
20230127:2030,0.0,0.0,0.0,23.55,1.24,0.0
20230127:2130,0.0,0.0,0.0,23.49,1.17,0.0
20230127:2230,0.0,0.0,0.0,23.44,1.17,0.0
20230127:2330,0.0,0.0,-0.0,23.43,1.31,0.0
20230128:0030,13.98,30.6,14.13,23.39,1.31,0.0
20230128:0130,52.8,82.5,28.12,23.61,1.17,0.0
20230128:0230,54.12,84.35,41.69,24.15,1.17,0.0
20230128:0330,66.66,100.3,54.32,24.33,1.03,0.0
20230128:0430,121.04,167.95,64.57,24.65,0.41,0.0
20230128:0530,158.28,214.9,68.61,25.1,0.69,0.0
20230128:0630,185.95,248.91,63.45,25.42,1.03,0.0
20230128:0730,155.49,212.25,52.74,26.43,0.97,0.0
20230128:0830,107.23,152.15,39.92,26.37,0.76,0.0
20230128:0930,34.08,58.95,26.28,26.21,0.69,0.0
20230128:1030,22.47,43.0,12.26,25.68,0.41,0.0
20230128:1130,0.0,0.0,-1.93,25.46,0.48,0.0
20230128:1230,0.0,0.0,0.0,24.78,0.76,0.0
20230128:1330,0.0,0.0,0.0,24.1,0.83,0.0
20230128:1430,0.0,0.0,0.0,23.78,0.9,0.0
20230128:1530,0.0,0.0,0.0,23.48,1.1,0.0
20230128:1630,0.0,0.0,0.0,23.14,1.03,0.0
20230128:1730,0.0,0.0,0.0,22.79,1.03,0.0
20230128:1830,0.0,0.0,0.0,22.62,0.97,0.0
20230128:1930,0.0,0.0,0.0,23.01,1.38,0.0
20230128:2030,0.0,0.0,0.0,22.87,0.9,0.0
20230128:2130,0.0,0.0,0.0,22.62,1.1,0.0
20230128:2230,0.0,0.0,0.0,22.4,1.24,0.0
20230128:2330,0.0,0.0,-0.04,22.19,1.38,0.0
20230129:0030,67.48,103.22,14.12,22.22,1.24,0.0
20230129:0130,151.77,205.03,28.13,23.37,1.31,0.0
20230129:0230,306.52,397.66,41.74,24.42,1.38,0.0
20230129:0330,378.98,493.2,54.43,25.75,2.0,0.0
20230129:0430,393.48,512.34,64.76,26.58,2.62,0.0
20230129:0530,372.35,483.59,68.88,27.04,3.1,0.0
20230129:0630,458.98,594.0,63.69,27.23,3.03,0.0
20230129:0730,425.21,553.56,52.92,28.78,2.9,0.0
20230129:0830,261.15,344.55,40.06,28.8,2.69,0.0
20230129:0930,172.55,234.82,26.38,27.31,2.9,0.0
20230129:1030,39.03,67.61,12.34,26.9,2.34,0.0
20230129:1130,0.0,0.0,-1.87,26.2,2.14,0.0
20230129:1230,0.0,0.0,0.0,25.47,1.52,0.0
20230129:1330,0.0,0.0,0.0,24.51,0.9,0.0
20230129:1430,0.0,0.0,0.0,23.83,1.38,0.0
20230129:1530,0.0,0.0,0.0,23.21,1.59,0.0
20230129:1630,0.0,0.0,0.0,22.79,1.72,0.0
20230129:1730,0.0,0.0,0.0,22.64,1.66,0.0
20230129:1830,0.0,0.0,0.0,22.58,1.45,0.0
20230129:1930,0.0,0.0,0.0,22.59,1.1,0.0
20230129:2030,0.0,0.0,0.0,22.64,1.17,0.0
20230129:2130,0.0,0.0,0.0,22.63,1.24,0.0
20230129:2230,0.0,0.0,0.0,22.59,1.31,0.0
20230129:2330,0.0,0.0,-0.07,22.59,1.24,0.0
20230130:0030,26.72,48.8,14.12,22.66,1.31,0.0
20230130:0130,129.28,177.46,28.15,23.49,1.1,0.0
20230130:0230,280.85,366.15,41.8,24.81,1.24,0.0
20230130:0330,365.88,476.64,54.54,26.21,2.21,0.0
20230130:0430,485.5,631.64,64.96,27.24,3.1,0.0
20230130:0530,444.05,580.31,69.16,28.29,3.24,0.0
20230130:0630,408.69,534.32,63.93,28.62,2.62,0.0
20230130:0730,335.3,437.43,53.1,28.16,1.66,0.0
20230130:0830,339.09,442.16,40.19,27.78,1.93,0.0
20230130:0930,185.11,251.97,26.49,27.97,2.21,0.0
20230130:1030,59.34,101.05,12.42,27.48,1.59,0.0
20230130:1130,0.0,0.0,-1.81,27.0,0.97,0.0
20230130:1230,0.0,0.0,0.0,26.2,0.69,0.0
20230130:1330,0.0,0.0,0.0,25.61,0.62,0.0
20230130:1430,0.0,0.0,0.0,24.95,0.69,0.0
20230130:1530,0.0,0.0,0.0,24.49,0.62,0.0
20230130:1630,0.0,0.0,0.0,23.84,0.97,0.0
20230130:1730,0.0,0.0,0.0,23.49,0.76,0.0
20230130:1830,0.0,0.0,0.0,23.21,0.97,0.0
20230130:1930,0.0,0.0,0.0,23.21,0.9,0.0
20230130:2030,0.0,0.0,0.0,22.9,0.9,0.0
20230130:2130,0.0,0.0,0.0,22.61,0.9,0.0
20230130:2230,0.0,0.0,0.0,22.44,0.97,0.0
20230130:2330,0.0,0.0,-0.1,22.19,1.17,0.0
20230131:0030,81.07,121.73,14.11,22.27,1.24,0.0
20230131:0130,183.47,245.03,28.18,23.92,1.1,0.0
20230131:0230,362.37,472.39,41.86,25.27,1.17,0.0
20230131:0330,440.98,581.79,54.66,26.6,1.1,0.0
20230131:0430,538.71,723.98,65.16,27.66,1.03,0.0
20230131:0530,583.96,792.85,69.43,28.59,1.17,0.0
20230131:0630,349.1,465.29,64.18,29.36,1.17,0.0
20230131:0730,358.94,476.35,53.28,29.43,1.59,0.0
20230131:0830,231.1,311.42,40.33,29.51,1.24,0.0
20230131:0930,149.85,208.32,26.59,29.16,1.31,0.0
20230131:1030,41.37,69.91,12.5,27.65,1.45,0.0
20230131:1130,0.0,0.0,-1.76,26.53,1.1,0.0
20230131:1230,0.0,0.0,0.0,25.75,0.97,0.0
20230131:1330,0.0,0.0,0.0,25.22,0.28,0.0
20230131:1430,0.0,0.0,0.0,24.55,0.48,0.0
20230131:1530,0.0,0.0,0.0,23.97,1.1,0.0
20230131:1630,0.0,0.0,0.0,23.51,1.03,0.0
20230131:1730,0.0,0.0,0.0,23.18,1.17,0.0
20230131:1830,0.0,0.0,0.0,22.87,1.17,0.0
20230131:1930,0.0,0.0,0.0,23.27,1.1,0.0
20230131:2030,0.0,0.0,0.0,23.14,1.1,0.0
20230131:2130,0.0,0.0,0.0,23.21,1.03,0.0
20230131:2230,0.0,0.0,0.0,23.23,0.97,0.0
20230131:2330,0.0,0.0,-0.13,23.15,1.03,0.0
20230201:0030,24.56,46.05,14.11,23.17,1.03,0.0
20230201:0130,38.19,63.8,28.2,24.02,1.03,0.0
20230201:0230,183.71,244.17,41.92,24.47,1.17,0.0
20230201:0330,183.96,244.03,54.78,25.61,1.24,0.0
20230201:0430,282.83,367.1,65.37,26.02,1.24,0.0
20230201:0530,227.12,300.87,69.72,26.78,1.31,0.0
20230201:0630,545.76,730.19,64.42,27.07,1.03,0.0
20230201:0730,436.24,575.32,53.46,30.37,2.14,0.0
20230201:0830,345.33,453.51,40.46,29.83,2.34,0.0
20230201:0930,124.83,176.19,26.69,28.63,2.14,0.0
20230201:1030,38.65,69.37,12.57,27.8,1.24,0.0
20230201:1130,0.0,0.0,-1.7,27.17,0.48,0.0
20230201:1230,0.0,0.0,0.0,26.46,0.34,0.0
20230201:1330,0.0,0.0,0.0,25.84,0.28,0.0
20230201:1430,0.0,0.0,0.0,25.5,0.34,0.0
20230201:1530,0.0,0.0,0.0,24.7,1.1,0.0
20230201:1630,0.0,0.0,0.0,24.23,1.1,0.0
20230201:1730,0.0,0.0,0.0,23.83,1.1,0.0
20230201:1830,0.0,0.0,0.0,23.56,1.03,0.0
20230201:1930,0.0,0.0,0.0,23.16,1.1,0.0
20230201:2030,0.0,0.0,0.0,23.03,1.17,0.0
20230201:2130,0.0,0.0,0.0,23.02,1.24,0.0
20230201:2230,0.0,0.0,0.0,22.91,1.31,0.0
20230201:2330,0.0,0.0,-0.15,22.89,1.38,0.0
20230202:0030,66.43,104.84,14.12,22.96,1.17,0.0
20230202:0130,146.19,199.33,28.23,24.33,0.9,0.0
20230202:0230,252.74,331.11,41.99,25.7,0.76,0.0
20230202:0330,321.4,421.76,54.9,26.66,0.62,0.0
20230202:0430,342.82,452.72,65.58,27.45,0.21,0.0
20230202:0530,478.59,642.76,70.01,28.04,0.48,0.0
20230202:0630,552.98,748.96,64.67,28.78,0.76,0.0
20230202:0730,440.2,585.78,53.63,30.24,1.17,0.0
20230202:0830,360.26,475.37,40.59,28.41,0.97,0.0
20230202:0930,134.44,188.64,26.79,28.03,0.55,0.0
20230202:1030,57.16,97.29,12.65,27.29,0.34,0.0
20230202:1130,0.0,0.0,-1.65,26.49,0.48,0.0
20230202:1230,0.0,0.0,0.0,25.82,0.34,0.0
20230202:1330,0.0,0.0,0.0,25.16,0.48,0.0
20230202:1430,0.0,0.0,0.0,24.62,0.9,0.0
20230202:1530,0.0,0.0,0.0,24.1,1.03,0.0
20230202:1630,0.0,0.0,0.0,23.74,1.17,0.0
20230202:1730,0.0,0.0,0.0,23.42,1.03,0.0
20230202:1830,0.0,0.0,0.0,23.09,1.03,0.0
20230202:1930,0.0,0.0,0.0,23.05,1.03,0.0
20230202:2030,0.0,0.0,0.0,22.72,1.24,0.0
20230202:2130,0.0,0.0,0.0,22.43,1.24,0.0
20230202:2230,0.0,0.0,0.0,22.09,1.24,0.0
20230202:2330,0.0,0.0,-0.17,21.98,1.24,0.0
20230203:0030,62.7,101.34,14.12,22.67,1.03,0.0
20230203:0130,184.29,247.11,28.27,24.33,0.76,0.0
20230203:0230,410.94,540.7,42.06,26.05,0.48,0.0
20230203:0330,511.86,686.36,55.03,27.64,0.55,0.0
20230203:0430,527.66,710.64,65.79,28.82,0.9,0.0
20230203:0530,628.3,859.95,70.3,29.55,1.1,0.0
20230203:0630,465.42,621.8,64.91,30.09,1.38,0.0
20230203:0730,295.09,391.73,53.81,28.96,1.31,0.0
20230203:0830,156.05,213.01,40.72,27.49,1.66,0.0
20230203:0930,81.38,120.1,26.89,26.69,0.69,0.0
20230203:1030,41.42,73.12,12.72,26.54,0.55,0.0
20230203:1130,0.0,0.0,-1.61,26.25,0.62,0.0
20230203:1230,0.0,0.0,0.0,25.74,0.69,0.0
20230203:1330,0.0,0.0,0.0,25.25,0.55,0.0
20230203:1430,0.0,0.0,0.0,24.77,0.83,0.0
20230203:1530,0.0,0.0,0.0,24.22,0.9,0.0
20230203:1630,0.0,0.0,0.0,23.72,1.24,0.0
20230203:1730,0.0,0.0,0.0,23.59,1.17,0.0
20230203:1830,0.0,0.0,0.0,23.54,0.9,0.0
20230203:1930,0.0,0.0,0.0,23.03,1.17,0.0
20230203:2030,0.0,0.0,0.0,22.88,0.76,0.0
20230203:2130,0.0,0.0,0.0,22.79,0.76,0.0
20230203:2230,0.0,0.0,0.0,22.75,0.83,0.0
20230203:2330,0.0,0.0,-0.19,22.72,0.97,0.0
20230204:0030,84.09,129.91,14.13,22.85,0.97,0.0
20230204:0130,210.21,279.52,28.31,24.43,0.97,0.0
20230204:0230,336.25,439.93,42.13,25.71,0.83,0.0
20230204:0330,375.15,493.47,55.16,26.9,0.83,0.0
20230204:0430,369.09,489.25,66.01,27.73,0.83,0.0
20230204:0530,401.1,536.35,70.6,28.22,0.69,0.0
20230204:0630,576.0,791.86,65.16,28.65,0.34,0.0
20230204:0730,373.82,500.05,53.98,30.49,0.34,0.0
20230204:0830,397.2,530.65,40.85,29.67,0.55,0.0
20230204:0930,232.44,313.71,26.98,28.65,2.07,0.0
20230204:1030,87.91,146.84,12.78,27.8,1.45,0.0
20230204:1130,0.0,0.0,-1.56,27.15,1.1,0.0
20230204:1230,0.0,0.0,0.0,26.38,1.1,0.0
20230204:1330,0.0,0.0,0.0,25.71,1.03,0.0
20230204:1430,0.0,0.0,0.0,25.25,1.24,0.0
20230204:1530,0.0,0.0,0.0,24.8,1.24,0.0
20230204:1630,0.0,0.0,0.0,24.42,1.17,0.0
20230204:1730,0.0,0.0,0.0,23.96,1.31,0.0
20230204:1830,0.0,0.0,0.0,23.43,1.52,0.0
20230204:1930,0.0,0.0,0.0,23.57,1.03,0.0
20230204:2030,0.0,0.0,0.0,23.72,1.03,0.0
20230204:2130,0.0,0.0,0.0,23.58,0.9,0.0
20230204:2230,0.0,0.0,0.0,23.51,0.76,0.0
20230204:2330,0.0,0.0,-0.2,23.23,0.55,0.0
20230205:0030,56.91,93.49,14.14,23.18,0.55,0.0
20230205:0130,141.95,194.53,28.34,24.64,0.62,0.0
20230205:0230,285.95,375.16,42.21,25.7,0.62,0.0
20230205:0330,426.05,558.46,55.29,26.9,0.97,0.0
20230205:0430,477.58,632.96,66.23,27.95,1.1,0.0
20230205:0530,445.87,593.14,70.9,28.65,0.97,0.0
20230205:0630,544.2,738.83,65.41,29.13,0.83,0.0
20230205:0730,479.15,641.21,54.16,29.36,1.31,0.0
20230205:0830,309.84,408.07,40.97,28.56,1.79,0.0
20230205:0930,150.74,207.92,27.07,27.92,1.72,0.0
20230205:1030,33.3,58.45,12.85,27.04,0.48,0.0
20230205:1130,0.0,0.0,-1.52,26.37,1.24,0.0
20230205:1230,0.0,0.0,0.0,25.35,1.03,0.0
20230205:1330,0.0,0.0,0.0,24.94,0.9,0.0
20230205:1430,0.0,0.0,0.0,24.53,0.62,0.0
20230205:1530,0.0,0.0,0.0,24.28,0.55,0.0
20230205:1630,0.0,0.0,0.0,24.03,0.41,0.0
20230205:1730,0.0,0.0,0.0,23.75,0.48,0.0
20230205:1830,0.0,0.0,0.0,23.6,0.28,0.0
20230205:1930,0.0,0.0,0.0,23.88,0.34,0.0
20230205:2030,0.0,0.0,0.0,23.91,0.14,0.0
20230205:2130,0.0,0.0,0.0,23.7,0.21,0.0
20230205:2230,0.0,0.0,0.0,23.42,0.62,0.0
20230205:2330,0.0,0.0,-0.21,23.26,0.69,0.0
20230206:0030,1.1,8.65,14.16,23.5,0.9,0.0
20230206:0130,5.82,17.7,28.39,23.37,1.45,0.0
20230206:0230,16.91,34.7,42.29,23.0,1.31,0.0
20230206:0330,50.06,78.65,55.42,22.59,1.31,0.0
20230206:0430,101.19,141.75,66.46,22.43,1.52,0.0
20230206:0530,205.85,266.43,71.21,22.52,1.45,0.0
20230206:0630,226.92,294.97,65.66,23.07,1.38,0.0
20230206:0730,88.49,127.85,54.33,25.29,1.93,0.0
20230206:0830,63.16,96.15,41.09,25.01,1.03,0.0
